격자_ID,평균_거치율,따릉이_대여소_개수,버스정류장_개수,지하철역_개수,설치대수_합계
83,115.21860013508947,2,2,2,120.0
95,207.75227963525836,1,4,2,40.0
204,30.06795634920635,1,3,1,128.0
224,26.401067207024653,1,6,1,200.0
236,99.8006036811888,2,4,1,72.0
262,50.31048069345942,1,2,1,96.0
294,57.90920297196893,2,1,1,72.0
296,165.47293686978338,2,6,1,60.0
301,108.7787957736286,2,7,2,68.0
379,38.846578670869455,2,1,1,232.0
397,160.39760216143196,1,5,1,40.0
475,17.841231663803356,2,2,1,172.0
523,108.2860321433538,1,3,1,68.0
550,10.238586472629024,1,4,1,88.0
633,13.498919284025668,1,2,1,40.0
696,181.72344928515145,1,2,1,60.0
705,65.23612518293369,1,4,1,24.0
723,97.01003039513677,2,4,1,80.0
827,52.68515704154002,2,1,1,84.0
858,113.41795564561522,2,2,1,140.0
869,33.707643814026795,2,2,2,140.0
960,334.91842095388193,1,6,1,36.0
979,25.55742992232354,2,5,2,80.0
1003,121.97310874704492,2,2,2,56.0
1026,63.380029269390974,2,4,1,128.0
1052,23.60346729708432,1,1,1,120.0
1056,94.60374672744916,3,2,1,180.0
1104,50.18170888213441,1,4,1,100.0
1134,75.22180006754475,2,1,1,120.0
1169,71.4564674096589,1,1,1,60.0
1256,253.61738714398288,1,2,1,48.0
1260,126.96361589553078,1,5,1,60.0
1356,47.47828999211978,2,2,1,100.0
1490,50.60274465487231,2,4,2,92.0
1562,135.41029682164432,1,7,3,36.0
1627,52.00132900002773,3,4,1,312.0
1851,83.82843633907464,1,5,1,40.0
1872,134.15260110893672,1,3,1,32.0
1979,99.70590051623486,2,5,1,96.0
2002,61.66247889226612,2,1,1,80.0
2008,101.78989080265676,1,5,1,60.0
2013,63.38615332657886,1,7,1,80.0
2035,131.12516886187095,1,2,1,32.0
2036,111.56435388444844,3,1,1,136.0
2046,162.9447990543735,2,4,1,120.0
2094,63.308800115791,2,2,1,176.0
2106,66.12012833502195,1,2,1,40.0
2118,35.52765752765753,1,3,1,132.0
2295,117.60466018558724,3,1,2,92.0
2314,44.193448159405605,2,1,1,60.0
2323,151.66399864910505,1,4,1,40.0
2412,72.98878401677953,1,6,1,76.0
2460,65.03262223723216,3,6,1,136.0
2469,34.27972692623148,2,11,2,68.0
2574,127.56819486659911,2,2,1,120.0
2584,11.42268940673196,4,3,1,168.0
2647,67.97004390408647,1,5,1,120.0
2655,137.97163120567376,1,1,1,48.0
2664,58.47206944243419,2,3,1,124.0
2816,41.001542193031554,2,7,1,96.0
2867,239.82732383733637,1,6,1,68.0
2873,192.760233029382,2,3,1,76.0
2949,29.936212152315612,3,2,1,196.0
3015,19.44740374873353,2,5,1,72.0
3057,137.17368046509384,2,5,1,104.0
3064,10.623300123832038,2,9,1,88.0
3136,39.51347095575819,2,5,1,72.0
3170,125.20013884198282,2,8,1,128.0
3327,164.76368344027918,1,4,1,60.0
3385,67.40810536980749,1,9,1,40.0
3408,26.890113137453564,2,6,1,120.0
3436,22.037442898025205,3,5,1,156.0
3509,17.881887615930168,1,3,1,104.0
3564,25.288313290163423,1,3,1,368.0
3567,69.79197272880783,1,2,1,128.0
3572,49.72102070506325,2,7,1,132.0
3605,71.76643102183016,2,2,1,104.0
3668,105.06644714623438,1,5,2,32.0
3723,18.093672875587767,1,2,1,208.0
3740,0.0,2,4,1,68.0
3744,89.04594731509624,2,8,1,80.0
3748,98.89064505234718,1,4,1,40.0
3758,92.552839859348,3,9,1,216.0
3802,22.421546774738264,1,2,3,120.0
3812,27.836068895643365,2,5,1,100.0
3825,16.11125745806597,3,2,2,132.0
3829,82.57720364741641,2,6,1,100.0
3874,128.05732860520095,2,13,3,64.0
3916,172.19307666328942,1,4,1,40.0
3958,127.78938904166868,1,9,1,84.0
3989,84.56551840594393,1,4,2,40.0
4006,11.681965552178315,1,4,1,120.0
4015,64.97157491838342,1,4,1,24.0
4043,91.25221209050996,1,2,1,40.0
4092,27.76872798764896,2,4,1,232.0
4165,71.20185748058088,1,6,1,40.0
4219,108.1781280739108,1,4,1,76.0
4225,148.456484295846,1,2,1,80.0
4246,22.399119103906337,1,7,2,96.0
4257,66.52409096026118,1,5,1,120.0
4285,54.43060138949196,2,3,1,252.0
4356,130.63400878081728,1,3,1,40.0
4392,153.94045930428908,1,2,1,40.0
4517,54.81790780141844,1,3,1,160.0
4518,51.18714285714285,2,7,2,140.0
4605,74.61017030925845,1,7,1,28.0
4618,57.63263517683914,2,8,1,172.0
4761,42.67983789260385,1,5,1,104.0
4793,131.11115051221432,3,1,1,240.0
4900,109.08551165146908,2,2,1,80.0
4909,63.61573792637622,1,3,1,40.0
4951,69.9369300911854,1,2,1,80.0
4992,45.83080040526849,1,2,1,60.0
5031,144.1951705504897,1,12,2,40.0
5086,125.16008105369808,1,1,1,40.0
5109,139.01780241910265,3,6,1,180.0
5111,47.08122255994596,1,4,1,40.0
5281,137.18140455551804,4,2,1,132.0
5283,100.48416075650115,1,3,1,60.0
5384,140.1097939885174,1,4,1,40.0
5435,107.1838230327592,1,5,1,40.0
5453,144.25589327929754,2,7,1,80.0
5504,176.46823708206688,1,6,1,80.0
5678,98.96040912819028,3,4,1,108.0
5685,69.00763255656872,2,5,1,140.0
5717,77.1830884836204,1,6,1,64.0
5783,65.12721793572857,2,6,1,80.0
5870,114.90460348162476,2,4,2,320.0
5967,120.00774062816616,2,3,1,200.0
6057,87.06693684566025,2,3,1,80.0
6124,259.66637718917355,1,3,1,28.0
6125,172.3178754362265,2,2,1,56.0
6224,84.00040526849037,1,4,1,40.0
6298,115.84491725768322,1,6,1,40.0
6466,64.01747720364742,2,2,1,100.0
6512,42.13010807159744,1,1,1,80.0
6527,109.84422492401217,2,1,1,120.0
6532,156.80712972344176,3,4,1,104.0
6557,125.32070621786934,2,3,1,96.0
6560,43.10395136778116,1,5,1,80.0
6577,159.45775075987842,1,6,1,40.0
6670,22.539851769444315,3,3,1,200.0
6763,95.53799392097264,1,2,1,40.0
6765,81.69076305220884,1,1,1,40.0
6809,119.19956658786444,1,3,1,48.0
6869,94.19003928269105,2,6,1,92.0
6923,103.60990093436902,1,2,1,48.0
6979,65.92067244549514,1,4,1,36.0
6990,176.10229652144545,1,13,2,40.0
7062,114.43998649105032,2,6,1,100.0
7113,89.49514053060152,1,6,1,36.0
7176,0.0,4,4,2,260.0
7178,104.14312732185071,1,2,1,40.0
7228,32.37723027563453,4,1,1,172.0
7273,15.255143532590342,1,4,1,100.0
7275,34.59563210627041,1,3,1,72.0
7283,99.8142697168453,1,4,1,76.0
7304,63.96427633307066,3,2,1,84.0
7374,59.154399789860776,3,1,1,232.0
7466,73.0836710570753,1,5,2,80.0
7471,22.068794326241136,2,4,1,120.0
7534,136.04507956702614,3,2,1,200.0
7605,77.37636496679049,1,1,1,48.0
7630,72.3950354609929,1,2,1,40.0
7656,57.68264099966227,2,6,1,80.0
7662,41.30097961534131,3,2,1,176.0
7733,87.80043904086456,1,5,1,40.0
7735,62.81171901384667,1,7,1,40.0
7747,58.74810030395136,1,1,2,32.0
7786,129.62460003764352,1,2,1,20.0
7798,34.84140493076664,1,3,1,80.0
7877,102.61222559945963,2,3,1,140.0
7913,94.96220027017898,2,6,1,72.0
7917,22.202938196555216,1,2,1,40.0
7961,244.55329280648428,1,2,1,40.0
8043,31.63421141506248,1,1,1,40.0
8116,97.80752816923032,1,3,1,88.0
8183,65.427968591692,2,2,1,132.0
8191,28.746046429672703,1,12,3,92.0
8339,10.062017336485422,2,5,2,140.0
8349,26.15193346842283,1,3,1,32.0
8491,26.5586989842309,1,1,1,104.0
8502,40.58774062816616,1,4,2,40.0
8528,83.27266970618035,1,4,1,32.0
8540,23.872844196780367,2,3,1,108.0
8552,109.79942586963864,1,9,1,40.0
8555,47.68017936883185,2,3,1,76.0
8564,140.7271192164809,1,2,1,32.0
8569,67.24436725044627,1,6,1,56.0
8661,41.1526286164584,1,2,2,60.0
8672,113.59548359441976,2,4,1,92.0
8809,12.69208037825059,1,7,1,16.0
8822,34.76174715749184,1,3,2,60.0
8824,16.560536980749745,1,3,2,80.0
8839,26.85207700101317,1,2,1,40.0
8855,59.26417672162353,1,5,2,88.0
8867,25.93211752786221,1,6,1,40.0
8874,54.43659236744343,1,3,1,32.0
8884,135.1854259215961,2,6,2,92.0
8972,288.84657210401895,1,2,1,40.0
8989,81.78455211871983,1,2,1,136.0
9003,79.93731847348869,1,7,1,40.0
9008,159.54424181019925,1,2,2,48.0
9016,58.042788894517614,2,4,1,112.0
9021,128.8804232804233,1,5,1,60.0
9026,57.880260047281325,2,4,1,72.0
9047,59.357290812306005,3,4,1,108.0
9102,24.54545761567038,1,6,1,80.0
9111,35.98297872340426,1,2,1,40.0
9114,92.38645727794665,2,6,2,80.0
9120,91.48842451874366,2,3,2,72.0
9128,193.21463469548576,1,2,1,60.0
9134,80.4177642688281,1,4,1,60.0
9199,37.23735224586288,1,3,1,40.0
9282,56.83069783731722,3,4,2,344.0
9317,54.6265704154002,2,3,1,100.0
9328,44.980228151150136,3,2,1,172.0
9331,47.42792412473264,1,2,1,48.0
9339,72.20685579196218,1,2,1,40.0
9432,25.544721377912868,1,1,1,100.0
9468,53.70523471800068,1,4,1,80.0
9489,80.39686311412079,3,3,1,180.0
9494,97.85113137453564,1,1,1,40.0
9682,61.4565011820331,1,1,2,40.0
9740,170.7114488348531,1,9,1,20.0
9804,30.275864009906563,1,3,2,48.0
9816,46.17708544410672,2,4,1,60.0
9874,71.83962343802769,1,2,2,32.0
9876,67.19861533265788,1,1,1,40.0
9927,65.35233592254869,1,3,1,60.0
9952,42.06518068220196,1,2,1,40.0
10009,52.1080378250591,2,4,1,120.0
10064,31.820770010131717,1,3,1,40.0
10071,16.27187784634593,1,5,1,132.0
10082,17.953948781608354,3,1,1,308.0
10084,37.13656119294417,3,1,1,172.0
